fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220420 114416	0	0	0	1	auto	depthwise	256	0	1	0.0100182499033826	0.619543814239243	10	2	0.029176414284624	901	11213000	40
20220425 053027	0	0	0	1	auto	depthwise	256	0	1	0.0101988735878988	0.995188614840337	7	3	0.00834962780146946	71	11177000	109
20220425 020632	0	0	0	1	auto	depthwise	256	0	1	0.184831991084029	0.998417412476827	10	30	0.0232243453238928	19	11064000	106
20220419 103952	0	0	0	1	auto	depthwise	256	0	1	0.275249390645302	0.381823952123523	6	19	0.00909025102446321	7	10861000	9
20220419 092226	0	0	0	1	auto	depthwise	256	0	1	0.254902945736307	0.344964181659743	9	5	0.0238160429211954	51	10800000	3
20220425 074115	0	0	0	1	auto	depthwise	256	0	1	0.010768339683979	0.999301955786619	7	2	0.0343697180386347	734	10720000	112
20220421 103340	0	0	0	1	auto	depthwise	256	0	1	0.146022808548432	0.99998001246053	0	2	0.0235984345871293	139	10658000	74
20220424 222316	0	0	0	1	auto	depthwise	256	0	1	0.296596868213667	0.666045359860628	2	2	0.0083381435642018	20	10580000	101
20220419 093901	0	0	0	1	auto	depthwise	256	0	1	0.122673524974729	0.786763029778376	2	15	0.0163429004707723	35	10578000	4
20220419 132904	0	0	0	1	auto	depthwise	256	0	1	0.29272482904396	0.801935414345935	6	4	0.0291545204764892	15	10306000	16
20220421 211356	0	0	0	1	auto	depthwise	256	0	1	0.273854612766874	0.999664129502355	0	2	0.0184230822235622	79	10126000	91
20220419 131514	0	0	0	1	auto	depthwise	256	0	1	0.0726249365266412	0.431674571670592	4	3	0.0403630420357028	125	10046000	14
20220419 102008	0	0	0	1	auto	depthwise	256	0	1	0.0616402050319593	0.95411612582393	3	14	0.0326699669468023	93	9948000	6
20220419 090810	0	0	0	1	auto	depthwise	256	0	1	0.269355900237802	0.608833802528679	3	11	0.0305823470334872	4	9448000	1
20220421 114742	0	0	0	1	auto	depthwise	256	0	1	0.133126772331113	0.200463415507521	10	2	0.0393712411591216	80	9395000	80
20220421 211718	0	0	0	1	auto	depthwise	256	0	1	0.299400267246581	0.999956626169212	0	2	0.0357942656963696	42	8886000	92
20220419 103432	0	0	0	1	auto	depthwise	256	0	1	0.133375060386839	0.458152924757451	5	17	0.0359558596363058	29	8873000	8
20220421 103621	0	0	0	1	auto	depthwise	256	0	1	0.2576752366574	0.999047765252212	0	2	0.0499803911020197	16	8695000	75
20220419 094744	0	0	0	1	auto	depthwise	256	0	1	0.167303346809233	0.529518113946542	8	30	0.0345038021885557	9	8317000	5
20220419 133442	0	0	0	1	auto	depthwise	256	0	1	0.14086950936215	0.303946525910869	0	13	0.0116233548489011	4	7943000	17
20220419 104721	0	0	0	1	auto	depthwise	256	0	1	0.202665143788443	0.857712786225602	10	8	0.0489888917184241	23	7546000	10
20220419 135512	0	0	0	1	auto	depthwise	256	0	1	0.0947705713099567	0.89153406733647	7	28	0.04310780732485	25	7504000	18
20220425 121531	0	0	0	1	auto	depthwise	256	0	1	0.0113468743778805	0.248492478599852	0	2	0.0499986680258845	1396	7429000	119
20220419 091910	0	0	0	1	auto	depthwise	256	0	1	0.187462825400638	0.708562422087416	9	25	0.0445291886790074	19	7016000	2
20220419 143547	0	0	0	1	auto	depthwise	256	0	1	0.230954302728642	0.220410624453798	7	21	0.0460910631047833	13	6803000	20
20220419 130936	0	0	0	1	auto	depthwise	256	0	1	0.218171137424768	0.74791400320828	1	22	0.0258220632759427	5	6333000	13
20220419 121702	0	0	0	1	auto	depthwise	256	0	1	0.0143849069216521	0.667925022747368	1	26	0.0392184166586958	158	6063000	11
20220422 003740	0	0	0	1	auto	depthwise	256	0	1	0.0100893615102501	0.974224852130201	0	30	0.0113930591794543	144	3223000	96
20220419 125805	0	0	0	1	auto	depthwise	256	0	1	0.0266994890781352	0.279546436564997	0	27	0.0216270656591708	193	646000	12
